Date,Time,Open,High,Low,Close
03/03/2014,17:00,1.37787,1.37919,1.37202,1.37322
03/04/2014,17:00,1.37323,1.37809,1.37252,1.37308
03/05/2014,17:00,1.37309,1.37484,1.37067,1.37232
03/06/2014,17:00,1.37231,1.38721,1.37206,1.38571
03/07/2014,17:00,1.3857,1.39142,1.38515,1.38756
03/08/2014,17:00,1.3857,1.39142,1.38515,1.38756
03/09/2014,17:00,1.38745,1.38915,1.38695,1.38864
03/10/2014,17:00,1.38862,1.38971,1.38609,1.38664
03/11/2014,17:00,1.38663,1.38759,1.3833,1.38526
03/12/2014,17:00,1.38525,1.39136,1.38427,1.39013
03/13/2014,17:00,1.39012,1.3966,1.38449,1.38607
03/14/2014,17:00,1.38606,1.39363,1.38468,1.39113
03/15/2014,17:00,1.38606,1.39363,1.38468,1.39113
03/16/2014,17:00,1.39076,1.39163,1.39007,1.39057
03/17/2014,17:00,1.39056,1.39469,1.38783,1.39301
03/18/2014,17:00,1.39304,1.39419,1.38793,1.39208
03/19/2014,17:00,1.39209,1.39296,1.38089,1.38306
03/20/2014,17:00,1.38307,1.38442,1.37485,1.37835
03/21/2014,17:00,1.37836,1.381,1.37649,1.37951
03/22/2014,17:00,1.37836,1.381,1.37649,1.37951
03/23/2014,17:00,1.37976,1.38056,1.37856,1.38004
03/24/2014,17:00,1.38003,1.38752,1.37596,1.38334
03/25/2014,17:00,1.38332,1.38462,1.37486,1.38119
03/26/2014,17:00,1.3812,1.38204,1.37756,1.37818
03/27/2014,17:00,1.37819,1.37937,1.37278,1.37458
03/28/2014,17:00,1.37459,1.37723,1.3704,1.37508
03/29/2014,17:00,1.37459,1.37723,1.3704,1.37508
03/30/2014,17:00,1.37627,1.37642,1.37441,1.37461
03/31/2014,17:00,1.3746,1.38077,1.37216,1.37739
04/01/2014,17:00,1.3774,1.38148,1.3771,1.38012
04/02/2014,17:00,1.38011,1.38195,1.37524,1.3757
04/03/2014,17:00,1.37569,1.3806,1.36974,1.3711
04/04/2014,17:00,1.37111,1.37304,1.36719,1.3703
04/05/2014,17:00,1.37111,1.37304,1.36719,1.3703
04/06/2014,17:00,1.36966,1.37036,1.36955,1.36972
04/07/2014,17:00,1.3697,1.37478,1.36965,1.37417
04/08/2014,17:00,1.37418,1.38108,1.37367,1.37917
04/09/2014,17:00,1.37916,1.38698,1.37793,1.38458
04/10/2014,17:00,1.38459,1.38984,1.38351,1.3892
04/11/2014,17:00,1.38921,1.39047,1.38627,1.38843
04/12/2014,17:00,1.38921,1.39047,1.38627,1.38843
04/13/2014,17:00,1.38432,1.38598,1.38413,1.38526
04/14/2014,17:00,1.38527,1.38623,1.38075,1.38137
04/15/2014,17:00,1.38136,1.38326,1.37895,1.38166
04/16/2014,17:00,1.38167,1.38502,1.3803,1.38374
04/17/2014,17:00,1.38375,1.38639,1.38078,1.38129
04/18/2014,17:00,1.3813,1.38217,1.38083,1.38086
